Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,57.919998,58.810001,57.790001,58.810001,42.554588,16928400
2010-01-05,58.889999,59.410000,58.619999,59.290001,42.901905,17368100
2010-01-06,59.320000,60.180000,59.189999,60.000000,43.415653,24351900
2010-01-07,59.740002,60.009998,59.299999,59.910000,43.350548,17449500
2010-01-08,59.700001,60.349998,59.490002,60.299999,43.632744,13344300
2010-01-11,60.689999,60.869999,59.730000,60.220001,43.574852,19459900
2010-01-12,59.299999,59.709999,59.040001,59.349998,42.945316,21510600
2010-01-13,59.320000,59.799999,58.520000,59.570000,43.104511,22137500
2010-01-14,59.560001,59.889999,59.330002,59.740002,43.227520,15545400
2010-01-15,59.669998,59.799999,58.849998,59.259998,42.880211,19055200
2010-01-19,59.099998,59.900002,58.990002,59.799999,43.270947,14613100
2010-01-20,59.160000,59.160000,58.419998,58.869999,42.598011,15641700
2010-01-21,58.919998,59.099998,57.529999,57.669998,41.729679,25206600
2010-01-22,57.389999,57.720001,56.139999,56.299999,40.738358,23028600
2010-01-25,56.680000,57.220001,56.490002,56.669998,41.006104,15901200
2010-01-26,56.200001,57.299999,55.919998,56.310001,40.745598,21515300
2010-01-27,56.150002,56.650002,55.180000,56.090000,40.586403,26616700
2010-01-28,56.500000,56.619999,54.799999,55.500000,40.159504,34430700
2010-01-29,55.910000,56.459999,54.220001,54.500000,39.435898,32802700
2010-02-01,55.150002,56.310001,55.110001,56.299999,40.738358,21813300
2010-02-02,56.509998,57.139999,56.049999,57.040001,41.273827,22250800
2010-02-03,56.880001,57.349998,56.419998,56.549999,40.919250,19749300
2010-02-04,56.099998,56.119999,54.200001,54.230000,39.240524,37173200
2010-02-05,54.220001,54.480000,52.669998,54.240002,39.247757,46378400
2010-02-08,54.250000,54.889999,53.730000,53.740002,38.885971,24115100
2010-02-09,54.480000,55.560001,54.310001,54.869999,39.703613,33558100
2010-02-10,54.889999,54.980000,53.779999,54.639999,39.537197,24182300
2010-02-11,54.529999,55.689999,54.290001,55.570000,40.210133,22944500
2010-02-12,54.900002,55.619999,54.540001,55.590000,40.224613,19833900
2010-02-16,56.299999,57.099998,56.240002,56.900002,41.172523,19834900
2010-02-17,57.060001,57.180000,56.439999,56.820000,41.114632,18137800
2010-02-18,56.759998,57.279999,56.480000,57.139999,41.346180,16572700
2010-02-19,56.930000,57.560001,56.660000,57.360001,41.505383,16498300
2010-02-22,57.500000,57.509998,56.450001,56.570000,40.933739,17349700
2010-02-23,56.299999,56.439999,55.369999,55.630001,40.253559,21101200
2010-02-24,55.610001,56.189999,55.439999,55.980000,40.506828,17630300
2010-02-25,55.180000,56.040001,54.720001,56.009998,40.528519,20948100
2010-02-26,56.139999,56.340000,55.650002,56.139999,40.622593,17246800
2010-03-01,56.400002,56.799999,56.349998,56.660000,40.998848,13966000
2010-03-02,57.029999,57.560001,56.910000,57.130001,41.338936,16746300
2010-03-03,57.349998,57.880001,57.349998,57.380001,41.519844,16767300
2010-03-04,57.470001,57.650002,56.840000,57.080002,41.302773,16331000
2010-03-05,57.639999,58.279999,57.580002,58.150002,42.077019,15335200
2010-03-08,58.310001,58.509998,57.810001,58.060001,42.011894,12612000
2010-03-09,57.750000,58.380001,57.669998,58.060001,42.011894,16703800
2010-03-10,58.119999,58.650002,57.849998,58.570000,42.380924,17372200
2010-03-11,58.349998,58.580002,58.169998,58.470001,42.308567,13033300
2010-03-12,58.849998,58.849998,58.250000,58.500000,42.330276,13659800
2010-03-15,58.279999,58.360001,57.290001,57.900002,41.896122,18373600
2010-03-16,58.189999,58.480000,57.730000,58.419998,42.272381,19161300
2010-03-17,58.709999,59.419998,58.630001,59.060001,42.735493,21671800
2010-03-18,59.060001,59.150002,57.860001,58.180000,42.098728,19726900
2010-03-19,57.279999,58.250000,56.759998,57.279999,41.592606,22412400
2010-03-22,56.560001,57.389999,56.330002,57.130001,41.483704,19856500
2010-03-23,57.259998,57.439999,56.889999,57.349998,41.643440,17420700
2010-03-24,56.970001,57.520000,56.840000,57.020000,41.403824,20747000
2010-03-25,57.430000,57.570000,55.970001,56.060001,40.706734,22123000
2010-03-26,56.250000,56.439999,55.720001,56.080002,40.721268,21493900
2010-03-29,56.439999,57.279999,56.400002,57.169998,41.512737,19476000
2010-03-30,57.299999,57.369999,56.910000,57.259998,41.578083,13057800
2010-03-31,57.369999,57.779999,57.130001,57.520000,41.766876,15167700
2010-04-01,58.090000,58.669998,58.040001,58.540001,42.507526,17990100
2010-04-05,58.900002,59.689999,58.700001,59.580002,43.262711,17455700
2010-04-06,59.500000,59.779999,59.259998,59.580002,43.262711,13535800
2010-04-07,59.439999,59.480000,58.650002,58.990002,42.834297,19535800
2010-04-08,58.549999,59.389999,58.270000,59.200001,42.986782,19459700
2010-04-09,59.590000,59.930000,59.500000,59.830002,43.444241,17488600
2010-04-12,59.779999,60.380001,59.759998,59.970001,43.545895,15027800
2010-04-13,59.889999,60.040001,59.130001,59.759998,43.393410,13855500
2010-04-14,60.060001,60.380001,59.529999,60.330002,43.807308,14585600
2010-04-15,60.259998,60.540001,60.070000,60.320000,43.800041,13947200
2010-04-16,59.980000,60.250000,58.910000,59.299999,43.059395,36664200
2010-04-19,58.759998,59.400002,58.580002,59.380001,43.117477,21149100
2010-04-20,59.830002,60.759998,59.779999,60.540001,43.959782,19666600
2010-04-21,60.560001,60.930000,60.040001,60.480000,43.916222,18571600
2010-04-22,59.970001,60.639999,59.520000,60.630001,44.025131,10687000
2010-04-23,60.650002,62.090000,60.570000,62.090000,45.085297,26010900
2010-04-26,62.200001,62.299999,61.779999,61.880001,44.932800,17262800
2010-04-27,61.450001,61.910000,59.830002,59.980000,43.553158,41402400
2010-04-28,60.389999,60.750000,59.770000,60.590000,43.996105,23095000
2010-04-29,60.900002,61.389999,60.250000,60.660000,44.046925,28860700
2010-04-30,60.799999,60.830002,59.529999,59.910000,43.502323,22916500
2010-05-03,60.169998,61.070000,59.490002,60.590000,43.996105,16689900
2010-05-04,59.790001,59.840000,58.349998,58.970001,42.819767,30584400
2010-05-05,57.889999,58.849998,57.520000,58.040001,42.144474,35206500
2010-05-06,57.520000,58.180000,52.290001,56.060001,40.706734,47200700
2010-05-07,55.900002,56.630001,54.290001,54.990002,39.929775,49490900
2010-05-10,57.130001,57.560001,56.520000,57.340000,41.636173,29716900
2010-05-11,56.740002,57.830002,56.689999,56.959999,41.360241,22836600
2010-05-12,57.080002,57.939999,57.080002,57.750000,41.933876,18808100
2010-05-13,57.660000,58.110001,57.110001,57.380001,41.665218,21117300
2010-05-14,56.849998,57.020000,55.360001,56.240002,40.837437,28395700
2010-05-17,56.419998,56.580002,54.459999,55.660000,40.416286,31939300
2010-05-18,56.470001,56.860001,54.910000,55.230000,40.104053,30664900
2010-05-19,54.910000,55.320000,53.660000,54.599998,39.646587,30105600
2010-05-20,53.200001,53.369999,52.000000,52.160000,37.874847,44883800
2010-05-21,51.130001,53.189999,51.009998,53.070000,38.535614,40156000
2010-05-24,52.959999,53.099998,51.779999,51.860001,37.656998,27349200
